run_accession	sample_accession	secondary_sample_accession	experiment_accession	study_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	library_layout	library_strategy	library_source	library_selection	read_count	base_count	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	fastq_md5	fastq_ftp	fastq_galaxy	sample_alias	broker_name	sample_title	first_created
SRR10910981	SAMN13878854	SRS6012918	SRX7578718	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	143_06Sep19	PAIRED	AMPLICON	METAGENOMIC	PCR	32856	19779312	2020-01-20	2020-01-20	Illumina MiSeq sequencing: Fecal microbiota of patients treated for rCDI by capsule FMT	Capsule Patients	PRJNA311224	143_06Sep19	0d5ff750be4127f853dbe0186ba4bd33;5c7023751285f7cdb26d418c457de9c5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/081/SRR10910981/SRR10910981_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/081/SRR10910981/SRR10910981_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/081/SRR10910981/SRR10910981_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/081/SRR10910981/SRR10910981_2.fastq.gz	143_06Sep19		Metagenome or environmental sample from gut metagenome	2020-01-20
SRR10910983	SAMN13878852	SRS6012916	SRX7578716	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	132_16Jan19	PAIRED	AMPLICON	METAGENOMIC	PCR	33659	20262718	2020-01-20	2020-01-20	Illumina MiSeq sequencing: Fecal microbiota of patients treated for rCDI by capsule FMT	Capsule Patients	PRJNA311224	132_16Jan19	7b2ac0a6b3343f078e6a50b70e7a916a;619f69f8cf73cbf5dcf047d84a908678	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/083/SRR10910983/SRR10910983_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/083/SRR10910983/SRR10910983_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/083/SRR10910983/SRR10910983_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/083/SRR10910983/SRR10910983_2.fastq.gz	132_16Jan19		Metagenome or environmental sample from gut metagenome	2020-01-20
SRR10910988	SAMN13878848	SRS6012911	SRX7578711	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	130_18Oct18	PAIRED	AMPLICON	METAGENOMIC	PCR	43235	26027470	2020-01-20	2020-01-20	Illumina MiSeq sequencing: Fecal microbiota of patients treated for rCDI by capsule FMT	Capsule Patients	PRJNA311224	130_18Oct18	e66e9d6fc7e186d0ae861680dfbd8639;c88f2fb63f05685713f04d187efe3734	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/088/SRR10910988/SRR10910988_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/088/SRR10910988/SRR10910988_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/088/SRR10910988/SRR10910988_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/088/SRR10910988/SRR10910988_2.fastq.gz	130_18Oct18		Metagenome or environmental sample from gut metagenome	2020-01-20
SRR10910994	SAMN13878842	SRS6012905	SRX7578705	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	128_08Oct18	PAIRED	AMPLICON	METAGENOMIC	PCR	36030	21690060	2020-01-20	2020-01-20	Illumina MiSeq sequencing: Fecal microbiota of patients treated for rCDI by capsule FMT	Capsule Patients	PRJNA311224	128_08Oct18	b625f22746d6da0de8baf9093cc5ae02;98cb3c45f824cf98218332cb03e3da8a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/094/SRR10910994/SRR10910994_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/094/SRR10910994/SRR10910994_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/094/SRR10910994/SRR10910994_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/094/SRR10910994/SRR10910994_2.fastq.gz	128_08Oct18		Metagenome or environmental sample from gut metagenome	2020-01-20
SRR10910997	SAMN13878839	SRS6012902	SRX7578702	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	148_20Jul19	PAIRED	AMPLICON	METAGENOMIC	PCR	59874	36044148	2020-01-20	2020-01-20	Illumina MiSeq sequencing: Fecal microbiota of patients treated for rCDI by capsule FMT	Capsule Patients	PRJNA311224	148_20Jul19	2ae481908c625d75cb126754ad4c8ec1;6014c5538f0f587b169d4797cffed46b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/097/SRR10910997/SRR10910997_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/097/SRR10910997/SRR10910997_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/097/SRR10910997/SRR10910997_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/097/SRR10910997/SRR10910997_2.fastq.gz	148_20Jul19		Metagenome or environmental sample from gut metagenome	2020-01-20
SRR10910998	SAMN13878785	SRS6012901	SRX7578701	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	138_19Mar19	PAIRED	AMPLICON	METAGENOMIC	PCR	29401	17699402	2020-01-20	2020-01-20	Illumina MiSeq sequencing: Fecal microbiota of patients treated for rCDI by capsule FMT	Capsule Patients	PRJNA311224	138_19Mar19	ae5cf43f7d3709a4894d44767cdf20a2;9a3ecbd7654df7923f3281c3fe1ac6f6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/098/SRR10910998/SRR10910998_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/098/SRR10910998/SRR10910998_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/098/SRR10910998/SRR10910998_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/098/SRR10910998/SRR10910998_2.fastq.gz	138_19Mar19		Metagenome or environmental sample from gut metagenome	2020-01-20
SRR10911000	SAMN13878837	SRS6012899	SRX7578699	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	147_23Jun19	PAIRED	AMPLICON	METAGENOMIC	PCR	64778	38996356	2020-01-20	2020-01-20	Illumina MiSeq sequencing: Fecal microbiota of patients treated for rCDI by capsule FMT	Capsule Patients	PRJNA311224	147_23Jun19	370ffde7ca14ab1384fe161129281b74;0b38b86608f5ad8321efd4d32f06b633	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/000/SRR10911000/SRR10911000_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/000/SRR10911000/SRR10911000_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/000/SRR10911000/SRR10911000_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/000/SRR10911000/SRR10911000_2.fastq.gz	147_23Jun19		Metagenome or environmental sample from gut metagenome	2020-01-20
SRR10911003	SAMN13878834	SRS6012896	SRX7578696	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	147_01Jul19	PAIRED	AMPLICON	METAGENOMIC	PCR	52695	31722390	2020-01-20	2020-01-20	Illumina MiSeq sequencing: Fecal microbiota of patients treated for rCDI by capsule FMT	Capsule Patients	PRJNA311224	147_01Jul19	6323e58d219fd2b3f0c94c47c5a92450;1ef599da06dcec6a8067e5fd2d6c6b02	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/003/SRR10911003/SRR10911003_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/003/SRR10911003/SRR10911003_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/003/SRR10911003/SRR10911003_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/003/SRR10911003/SRR10911003_2.fastq.gz	147_01Jul19		Metagenome or environmental sample from gut metagenome	2020-01-20
SRR10911004	SAMN13878833	SRS6012895	SRX7578695	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	146_20Jun19	PAIRED	AMPLICON	METAGENOMIC	PCR	57511	34621622	2020-01-20	2020-01-20	Illumina MiSeq sequencing: Fecal microbiota of patients treated for rCDI by capsule FMT	Capsule Patients	PRJNA311224	146_20Jun19	43d288a2d0906419981cba87289234f3;61e4e8d719944cb9d7e2641ee2d91921	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/004/SRR10911004/SRR10911004_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/004/SRR10911004/SRR10911004_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/004/SRR10911004/SRR10911004_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/004/SRR10911004/SRR10911004_2.fastq.gz	146_20Jun19		Metagenome or environmental sample from gut metagenome	2020-01-20
SRR10911005	SAMN13878832	SRS6012894	SRX7578694	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	146_13Jun19	PAIRED	AMPLICON	METAGENOMIC	PCR	66985	40324970	2020-01-20	2020-01-20	Illumina MiSeq sequencing: Fecal microbiota of patients treated for rCDI by capsule FMT	Capsule Patients	PRJNA311224	146_13Jun19	257e2834f090472a843e78e9dc3f2a46;8fafb424ae762a5c3bb04739c438ca3d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/005/SRR10911005/SRR10911005_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/005/SRR10911005/SRR10911005_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/005/SRR10911005/SRR10911005_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/005/SRR10911005/SRR10911005_2.fastq.gz	146_13Jun19		Metagenome or environmental sample from gut metagenome	2020-01-20
SRR10911006	SAMN13878831	SRS6012893	SRX7578693	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	146_05Jun19	PAIRED	AMPLICON	METAGENOMIC	PCR	59664	35917728	2020-01-20	2020-01-20	Illumina MiSeq sequencing: Fecal microbiota of patients treated for rCDI by capsule FMT	Capsule Patients	PRJNA311224	146_05Jun19	1e07be8df22dbe007358af04131c2caf;e44424aac76ae708246126ee9144de4c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/006/SRR10911006/SRR10911006_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/006/SRR10911006/SRR10911006_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/006/SRR10911006/SRR10911006_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/006/SRR10911006/SRR10911006_2.fastq.gz	146_05Jun19		Metagenome or environmental sample from gut metagenome	2020-01-20
SRR10911011	SAMN13878827	SRS6012888	SRX7578688	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	144_13May19	PAIRED	AMPLICON	METAGENOMIC	PCR	45836	27593272	2020-01-20	2020-01-20	Illumina MiSeq sequencing: Fecal microbiota of patients treated for rCDI by capsule FMT	Capsule Patients	PRJNA311224	144_13May19	48d27f83c390ddf2ea9147c090d191ac;ceb979e2168a9228957f4ac9c5ee6993	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/011/SRR10911011/SRR10911011_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/011/SRR10911011/SRR10911011_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/011/SRR10911011/SRR10911011_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/011/SRR10911011/SRR10911011_2.fastq.gz	144_13May19		Metagenome or environmental sample from gut metagenome	2020-01-20
SRR10911014	SAMN13878824	SRS6012885	SRX7578685	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	149_20Jun19	PAIRED	AMPLICON	METAGENOMIC	PCR	41114	24750628	2020-01-20	2020-01-20	Illumina MiSeq sequencing: Fecal microbiota of patients treated for rCDI by capsule FMT	Capsule Patients	PRJNA311224	149_20Jun19	a289d910ba9de6ff5f82c1d854c23797;de06a6d2a034572c06283ade4dcbe16c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/014/SRR10911014/SRR10911014_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/014/SRR10911014/SRR10911014_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/014/SRR10911014/SRR10911014_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/014/SRR10911014/SRR10911014_2.fastq.gz	149_20Jun19		Metagenome or environmental sample from gut metagenome	2020-01-20
SRR10911016	SAMN13878822	SRS6012883	SRX7578683	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	142_29Apr19	PAIRED	AMPLICON	METAGENOMIC	PCR	49230	29636460	2020-01-20	2020-01-20	Illumina MiSeq sequencing: Fecal microbiota of patients treated for rCDI by capsule FMT	Capsule Patients	PRJNA311224	142_29Apr19	83bc72df303a0e5c51d65e3cd8bb440d;31734bd69253646f45d76cbf73a04cfa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/016/SRR10911016/SRR10911016_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/016/SRR10911016/SRR10911016_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/016/SRR10911016/SRR10911016_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/016/SRR10911016/SRR10911016_2.fastq.gz	142_29Apr19		Metagenome or environmental sample from gut metagenome	2020-01-20
SRR10911018	SAMN13878820	SRS6012881	SRX7578681	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	142_09Apr19	PAIRED	AMPLICON	METAGENOMIC	PCR	49043	29523886	2020-01-20	2020-01-20	Illumina MiSeq sequencing: Fecal microbiota of patients treated for rCDI by capsule FMT	Capsule Patients	PRJNA311224	142_09Apr19	8e04698904f80e8dbb10b879dddd69a6;e6a5d589bb755223df1fec88faf2b536	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/018/SRR10911018/SRR10911018_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/018/SRR10911018/SRR10911018_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/018/SRR10911018/SRR10911018_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/018/SRR10911018/SRR10911018_2.fastq.gz	142_09Apr19		Metagenome or environmental sample from gut metagenome	2020-01-20
SRR10911020	SAMN13878783	SRS6012879	SRX7578679	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	138_01Apr19	PAIRED	AMPLICON	METAGENOMIC	PCR	42462	25562124	2020-01-20	2020-01-20	Illumina MiSeq sequencing: Fecal microbiota of patients treated for rCDI by capsule FMT	Capsule Patients	PRJNA311224	138_01Apr19	0fcb6e28a2e97454d15798785dd4607d;7e9cfff326503f73544d258035999648	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/020/SRR10911020/SRR10911020_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/020/SRR10911020/SRR10911020_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/020/SRR10911020/SRR10911020_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/020/SRR10911020/SRR10911020_2.fastq.gz	138_01Apr19		Metagenome or environmental sample from gut metagenome	2020-01-20
SRR10911021	SAMN13878818	SRS6012878	SRX7578678	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	145_22May19	PAIRED	AMPLICON	METAGENOMIC	PCR	40081	24128762	2020-01-20	2020-01-20	Illumina MiSeq sequencing: Fecal microbiota of patients treated for rCDI by capsule FMT	Capsule Patients	PRJNA311224	145_22May19	f8580a9b6ad9eeec023f0d3442ea7ef2;b0342d393270e6a39d7926bbde6a28fa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/021/SRR10911021/SRR10911021_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/021/SRR10911021/SRR10911021_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/021/SRR10911021/SRR10911021_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/021/SRR10911021/SRR10911021_2.fastq.gz	145_22May19		Metagenome or environmental sample from gut metagenome	2020-01-20
SRR10911024	SAMN13878815	SRS6012875	SRX7578675	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	145_01May19	PAIRED	AMPLICON	METAGENOMIC	PCR	62597	37683394	2020-01-20	2020-01-20	Illumina MiSeq sequencing: Fecal microbiota of patients treated for rCDI by capsule FMT	Capsule Patients	PRJNA311224	145_01May19	85320f2c5f67757f10a285bcc58c7140;b35235d47466b8330260ad7539816147	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/024/SRR10911024/SRR10911024_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/024/SRR10911024/SRR10911024_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/024/SRR10911024/SRR10911024_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/024/SRR10911024/SRR10911024_2.fastq.gz	145_01May19		Metagenome or environmental sample from gut metagenome	2020-01-20
